name,linkedin_url,website,industry,company_size,headquarters,founded,specialties,description,email,phone,followers,location_search,followers_search,description_short,source,crawl_keyword,channel,channel_title,channel_members,message_date,location,crawl_channel
Indian Institute of Space Science and Technology,https://www.linkedin.com/company/31085651/,,Aviation and Aerospace Component Manufacturing,,Thiruvananthapuram,,,,,,1K,,,Aviation and Aerospace Component Manufacturing • Thiruvananthapuram,linkedin,SPAC technology,,,,,,
Indian Institute of Space Science and Technology (IIST),https://www.linkedin.com/company/86802322/,,Higher Education,,"Thiruvananthapuram, Kerala",,,,,,27K,,,"Higher Education • Thiruvananthapuram, Kerala",linkedin,SPAC technology,,,,,,
Indian Skill PharmaTech Consulting (ISPTC),https://www.linkedin.com/company/108401515/,,Business Consulting and Services,,,,,,,,284,,,Business Consulting and Services,linkedin,pharma tech,,,,,,
Indian Tech Network,https://www.linkedin.com/company/96154548/,,"Technology, Information and Internet",,San Francisco Bay Area,,,,,,701,,,"Technology, Information and Internet • San Francisco Bay Area",linkedin,startup Bay Area,,,,,,
Indian Venture and Alternate Capital Association (IVCA),https://www.linkedin.com/company/226044/,,Venture Capital and Private Equity Principals,,"New Delhi, Delhi",,,,,,71K,,,"Venture Capital and Private Equity Principals • New Delhi, Delhi",linkedin,venture capital Vietnam,,,,,,
Indigenous Land and Sea Corporation,https://www.linkedin.com/company/1323765/,,Government Administration,,"Adelaide, South Australia",,,,,,21K,,,"Government Administration • Adelaide, South Australia",linkedin,Sea Limited,,,,,,
Indigita SA,https://www.linkedin.com/company/15078529/,,Financial Services,,"Geneva, Geneva",,,,,,3K,,,"Financial Services • Geneva, Geneva",linkedin,regtech company,,,,,,
Indium,https://www.linkedin.com/company/11703746/,,IT Services and IT Consulting,,"Cupertino, California",,,,,,188K,,,"IT Services and IT Consulting • Cupertino, California",linkedin,data analytics company,,,,,,
Individual Software,https://www.linkedin.com/company/32960/,,Software Development,,"Livermore, CA",,,,,,2K,,,"Software Development • Livermore, CA",linkedin,developer tools company,,,,,,
Indo Asia Global Technologies Private Limited,https://www.linkedin.com/company/71609770/,,IT Services and IT Consulting,,"New Delhi, Delhi",,,,,,1K,,,"IT Services and IT Consulting • New Delhi, Delhi",linkedin,cybersecurity company USA,,,,,,
Indogen Capital,https://www.linkedin.com/company/14482777/,,Venture Capital and Private Equity Principals,,"Jakarta, DKI Jakarta",,,,,,4K,,,"Venture Capital and Private Equity Principals • Jakarta, DKI Jakarta",linkedin,Southeast Asia venture capital,,,,,,
Indonesia AI (PT. Teknologi Artifisial Indonesia),https://www.linkedin.com/company/67477893/,,IT Services and IT Consulting,,"Depok, Jawa Barat",,,,,,2K,,,"IT Services and IT Consulting • Depok, Jawa Barat",linkedin,AI Indonesia,,,,,,
Indonesia AI Forum,https://www.linkedin.com/company/14627953/,,IT Services and IT Consulting,,"Jakarta, Jakarta Selatan",,,,,,213,,,"IT Services and IT Consulting • Jakarta, Jakarta Selatan",linkedin,AI Indonesia,,,,,,
Indonesia AI Governance Institute,https://www.linkedin.com/company/104817395/,,"Technology, Information and Internet",,,,,,,,43,,,"Technology, Information and Internet",linkedin,AI Indonesia,,,,,,
Indonesia AI Institute,https://www.linkedin.com/company/104404269/,,"Technology, Information and Internet",,,,,,,,273,,,"Technology, Information and Internet",linkedin,AI Indonesia,,,,,,
Indonesia AI Summit,https://www.linkedin.com/company/14701111/,,"Technology, Information and Internet",,"Jakarta Selatan, DKI Jakarta",,,,,,19,,,"Technology, Information and Internet • Jakarta Selatan, DKI Jakarta",linkedin,AI Indonesia,,,,,,
Indonesia AI Summit (IAI),https://www.linkedin.com/company/99304732/,,Business Consulting and Services,,"Jakarta, DKI Jakarta",,,,,,183,,,"Business Consulting and Services • Jakarta, DKI Jakarta",linkedin,AI Indonesia,,,,,,
"Indonesia AI Summit 2019 (Bali, 21-22 Agustus)",https://www.linkedin.com/company/14701116/,,"Technology, Information and Internet",,"Kebayoran Baru, Jakarta",,,,,,25,,,"Technology, Information and Internet • Kebayoran Baru, Jakarta",linkedin,AI Indonesia,,,,,,
Indonesia Air Transport,https://www.linkedin.com/company/90670273/,,Airlines and Aviation,,"Jakarta, DKI Jakarta",,,,,,838,,,"Airlines and Aviation • Jakarta, DKI Jakarta",linkedin,AI Indonesia,,,,,,
Indonesia Air Transport,https://www.linkedin.com/company/1482918/,,Airlines and Aviation,,,,,,,,970,,,Airlines and Aviation,linkedin,AI Indonesia,,,,,,
"Indonesia Cyber, Privacy, and AI Professional (ICPAP)",https://www.linkedin.com/company/110525853/,,"Technology, Information and Internet",,,,,,,,30,,,"Technology, Information and Internet",linkedin,AI Indonesia,,,,,,
Indonesia Data Science & AI Business Consulting Group (IDABC),https://www.linkedin.com/company/96288648/,,Data Infrastructure and Analytics,,Jakarta,,,,,,12,,,Data Infrastructure and Analytics • Jakarta,linkedin,AI Indonesia,,,,,,
Indonesia Fintech Institute,https://www.linkedin.com/company/82149897/,,Financial Services,,"Yogyakarta , Yogyakarta",,,,,,10,,,"Financial Services • Yogyakarta , Yogyakarta ",linkedin,fintech Indonesia,,,,,,
Indonesia Fintech Show,https://www.linkedin.com/company/14444201/,,Events Services,,"Kota Jakarta, DKI Jakarta",,,,,,60,,,"Events Services • Kota Jakarta, DKI Jakarta",linkedin,fintech Indonesia,,,,,,
Indonesia Fintech Society,https://www.linkedin.com/company/69648610/,,Public Policy Offices,,,,,,,,169,,,Public Policy Offices,linkedin,fintech Indonesia,,,,,,
Indonesia Institute For AI Advancement,https://www.linkedin.com/company/80871790/,,"Technology, Information and Internet",,,,,,,,4,,,"Technology, Information and Internet",linkedin,AI Indonesia,,,,,,
Indonesia National Air Carriers Association (INACA),https://www.linkedin.com/company/104997903/,,Airlines and Aviation,,,,,,,,715,,,Airlines and Aviation,linkedin,AI Indonesia,,,,,,
Indra Group,https://www.linkedin.com/company/4230/,,Defense and Space Manufacturing,,"Madrid, Madrid",,,,,,1M,,,"Defense and Space Manufacturing • Madrid, Madrid",linkedin,cybersecurity Singapore,,,,,,
Indrepreneur I Grab me Job | Training Vertical of Recex,https://www.linkedin.com/company/13624688/,,Business Consulting and Services,,"kolkata, west Bengal",,,,,,184,,,"Business Consulting and Services • kolkata, west Bengal",linkedin,Grab,,,,,,
Indus Tech Edge Fund,https://www.linkedin.com/company/101060902/,,Financial Services,,"New Delhi, Delhi",,,,,,186,,,"Financial Services • New Delhi, Delhi",linkedin,growth equity USA,,,,,,
Industry Job Announcements for the Georgia Tech School of Building Construction,https://www.linkedin.com/company/51641513/,,Construction,,"Atlanta, Georgia",,,,,,132,,,"Construction • Atlanta, Georgia",linkedin,construction tech,,,,,,
Inferact,https://www.linkedin.com/company/111211108/,,Software Development,,"San Francisco, CA",,,,,,2K,,,"Software Development • San Francisco, CA",linkedin,LLM startup,,,,,,
Inferenz,https://www.linkedin.com/company/13006765/,,IT Services and IT Consulting,,"Round Rock, Texas",,,,,,13K,,,"IT Services and IT Consulting • Round Rock, Texas",linkedin,AI startup USA,,,,,,
Infinera,https://www.linkedin.com/company/164346/,,Telecommunications,,"San Jose, California",,,,,,118K,,,"Telecommunications • San Jose, California",linkedin,infrastructure software,,,,,,
Infinite Computer Solutions,https://www.linkedin.com/company/11115/,,IT Services and IT Consulting,,"Rockville, Maryland",,,,,,382K,,,"IT Services and IT Consulting • Rockville, Maryland",linkedin,BPO Vietnam,,,,,,
Infinite Computing Systems,https://www.linkedin.com/company/52136/,,Information Technology & Services,,"Cedar Rapids, IA",,,,,,36K,,,"Information Technology & Services • Cedar Rapids, IA",linkedin,mobile banking Vietnam,,,,,,
Infinitium Group of Companies,https://www.linkedin.com/company/1518640/,,Financial Services,,Selangor Darul Ehsan,,,,,,4K,,,Financial Services • Selangor Darul Ehsan,linkedin,ASEAN e-commerce,,,,,,
Infinity Logistics Vietnam,https://www.linkedin.com/company/101136509/,,"Transportation, Logistics, Supply Chain and Storage",,"Thu Duc, Ho Chi Minh",,,,,,425,,,"Transportation, Logistics, Supply Chain and Storage • Thu Duc, Ho Chi Minh",linkedin,logistics Vietnam,,,,,,
Infinity Soft Systems,https://www.linkedin.com/company/71610067/,,Software Development,,"Austin, Texas",,,,,,9K,,,"Software Development • Austin, Texas",linkedin,mobile banking Vietnam,,,,,,
Infinivisglobal,https://www.linkedin.com/company/91622046/,,IT Services and IT Consulting,,"Dubai, Dubai",,,,,,2K,,,"IT Services and IT Consulting • Dubai, Dubai",linkedin,cybersecurity company USA,,,,,,
Infinx,https://www.linkedin.com/company/2459959/,,Hospitals and Health Care,,"Cupertino, California",,,,,,116K,,,"Hospitals and Health Care • Cupertino, California",linkedin,medical AI,,,,,,
Infix Group Ltd,https://www.linkedin.com/company/68506794/,,Financial Services,,"Qatar , UAE, UK and Mauritius",,,,,,427,,,"Financial Services • Qatar , UAE, UK and Mauritius ",linkedin,regtech company,,,,,,
InfluxData,https://www.linkedin.com/company/5159145/,,Software Development,,"San Francisco, California",,,,,,23K,,,"Software Development • San Francisco, California",linkedin,Series A Singapore,,,,,,
Info Way Solutions,https://www.linkedin.com/company/3998479/,,IT Services and IT Consulting,,"Fremont, California",,,,,,117K,,,"IT Services and IT Consulting • Fremont, California",linkedin,cybersecurity Singapore,,,,,,
InfoVision Inc.,https://www.linkedin.com/company/282692/,,IT Services and IT Consulting,,"Richardson, TX",,,,,,377K,,,"IT Services and IT Consulting • Richardson, TX",linkedin,data analytics company,,,,,,
Infoblox,https://www.linkedin.com/company/8697/,,Computer and Network Security,,"Santa Clara, California",,,,,,210K,,,"Computer and Network Security • Santa Clara, California",linkedin,SaaS Vietnam,,,,,,
Infogain,https://www.linkedin.com/company/6282/,,IT Services and IT Consulting,,"Los Gatos, CA",,,,,,509K,,,"IT Services and IT Consulting • Los Gatos, CA",linkedin,data analytics company,,,,,,
Infojini Inc,https://www.linkedin.com/company/815009/,,IT Services and IT Consulting,,"Columbia, Maryland",,,,,,393K,,,"IT Services and IT Consulting • Columbia, Maryland",linkedin,IT outsourcing Vietnam,,,,,,
Infomed Consulting,https://www.linkedin.com/company/66970805/,,Biotechnology Research,,Johannesburg,,,,,,605,,,Biotechnology Research • Johannesburg,linkedin,startup Southeast Asia,,,,,,
Infor,https://www.linkedin.com/company/1711/,,Software Development,,"New York, NY",,,,,,911K,,,"Software Development • New York, NY",linkedin,manufacturing Vietnam,,,,,,
Informa,https://www.linkedin.com/company/164356/,,Information Services,,London,,,,,,345K,,,Information Services • London,linkedin,medical AI,,,,,,
Information Data Systems (IDS),https://www.linkedin.com/company/80657903/,,IT Services and IT Consulting,,"Troy, Michigan",,,,,,8K,,,"IT Services and IT Consulting • Troy, Michigan",linkedin,telemedicine company,,,,,,
Information Security Media Group (ISMG),https://www.linkedin.com/company/112280/,,"Technology, Information and Media",,"Princeton, NJ",,,,,,123K,,,"Technology, Information and Media • Princeton, NJ",linkedin,cybersecurity Singapore,,,,,,
Infosys,https://www.linkedin.com/company/1283/,,IT Services and IT Consulting,,"Bangalore, Karnataka",,,,,,11M,,,"IT Services and IT Consulting • Bangalore, Karnataka",linkedin,IT outsourcing Vietnam,,,,,,
Infosys BPM,https://www.linkedin.com/company/6715/,,IT Services and IT Consulting,,"Bengaluru, Karnataka",,,,,,2M,,,"IT Services and IT Consulting • Bengaluru, Karnataka",linkedin,IT outsourcing Vietnam,,,,,,
Infotree Global Solutions,https://www.linkedin.com/company/35690611/,,Staffing and Recruiting,,"Plymouth, Michigan",,,,,,314K,,,"Staffing and Recruiting • Plymouth, Michigan",linkedin,IT outsourcing Vietnam,,,,,,
Infoziant,https://www.linkedin.com/company/14622526/,,IT Services and IT Consulting,,"Chennai, Tamil Nadu",,,,,,3K,,,"IT Services and IT Consulting • Chennai, Tamil Nadu",linkedin,cybersecurity company USA,,,,,,
InfraVault,https://www.linkedin.com/company/107317123/,,"Technology, Information and Internet",,"Islamabad, punjab",,,,,,75,,,"Technology, Information and Internet • Islamabad, punjab",linkedin,observability startup,,,,,,
Infrastructure Solutions (Software) Inc.,https://www.linkedin.com/company/5278790/,,Civil Engineering,,"Mississauga, Ontario",,,,,,2K,,,"Civil Engineering • Mississauga, Ontario",linkedin,infrastructure software,,,,,,
Infura,https://www.linkedin.com/company/11241000/,,"Technology, Information and Internet",,"Brooklyn, New York",,,,,,8K,,,"Technology, Information and Internet • Brooklyn, New York",linkedin,developer tools company,,,,,,
Ingersoll Rand,https://www.linkedin.com/company/3175/,,Industrial Machinery Manufacturing,,"Davidson, North Carolina",,,,,,384K,,,"Industrial Machinery Manufacturing • Davidson, North Carolina",linkedin,AI Indonesia,,,,,,
Ingham Jones,https://www.linkedin.com/company/69494289/,,Staffing and Recruiting,,"London, England",,,,,,5K,,,"Staffing and Recruiting • London, England",linkedin,regtech company,,,,,,
Ingo Payments,https://www.linkedin.com/company/243006/,,Financial Services,,"Alpharetta, GA",,,,,,10K,,,"Financial Services • Alpharetta, GA",linkedin,digital payments Vietnam,,,,,,
Ingram Micro,https://www.linkedin.com/company/2576/,,IT Services and IT Consulting,,"Irvine, CA",,,,,,595K,,,"IT Services and IT Consulting • Irvine, CA",linkedin,e-commerce Vietnam,,,,,,
Ingram Micro Commerce & Lifecycle Services,https://www.linkedin.com/company/18562593/,,"Transportation, Logistics, Supply Chain and Storage",,"Irvine, California",,,,,,24K,,,"Transportation, Logistics, Supply Chain and Storage • Irvine, California",linkedin,e-commerce Vietnam,,,,,,
InheritX Solutions Pvt Ltd,https://www.linkedin.com/company/2302575/,,IT Services and IT Consulting,,"New York, New York",,,,,,19K,,,"IT Services and IT Consulting • New York, New York",linkedin,devops company,,,,,,
Initialized Capital,https://www.linkedin.com/company/6355249/,,Venture Capital and Private Equity Principals,,"San Francisco, California",,,,,,36K,,,"Venture Capital and Private Equity Principals • San Francisco, California",linkedin,venture capital Vietnam,,,,,,
Initiative,https://www.linkedin.com/company/164372/,,Advertising Services,,"New York, NY",,,,,,186K,,,"Advertising Services • New York, NY",linkedin,consulting Vietnam,,,,,,
Initio Capital,https://www.linkedin.com/company/105202881/,,Venture Capital and Private Equity Principals,,"San Francisco, California",,,,,,21K,,,"Venture Capital and Private Equity Principals • San Francisco, California",linkedin,venture capital Vietnam,,,,,,
Inito,https://www.linkedin.com/company/10073351/,,Wellness and Fitness Services,,"Houston, Texas",,,,,,43K,,,"Wellness and Fitness Services • Houston, Texas",linkedin,medical AI,,,,,,
Inizio Partners,https://www.linkedin.com/company/87077895/,,Executive Search Services,,"Warren, NJ",,,,,,48K,,,"Executive Search Services • Warren, NJ",linkedin,software outsourcing India,,,,,,
Inkeep,https://www.linkedin.com/company/91536346/,,Software Development,,"San Francisco, California",,,,,,3K,,,"Software Development • San Francisco, California",linkedin,developer tools company,,,,,,
Inmar Intelligence,https://www.linkedin.com/company/250200/,,Software Development,,"Winston-Salem, NC",,,,,,43K,,,"Software Development • Winston-Salem, NC",linkedin,digital payments Vietnam,,,,,,
InnoSpring Silicon Valley,https://www.linkedin.com/company/2574091/,,Venture Capital and Private Equity Principals,,"Palo Alto, California",,,,,,741,,,"Venture Capital and Private Equity Principals • Palo Alto, California",linkedin,startup Bay Area,,,,,,
Innobot Health,https://www.linkedin.com/company/75049442/,,IT Services and IT Consulting,,"Cape Coral, Florida",,,,,,18K,,,"IT Services and IT Consulting • Cape Coral, Florida",linkedin,digital payments Vietnam,,,,,,
Innocito,https://www.linkedin.com/company/89733261/,,IT Services and IT Consulting,,"Irving, Texas",,,,,,40K,,,"IT Services and IT Consulting • Irving, Texas",linkedin,devops company,,,,,,
Innotech Vietnam Corporation,https://www.linkedin.com/company/30204055/,,IT Services and IT Consulting,,"Dong Hoa Ward, Ho Chi Minh City",,,,,,6K,,,"IT Services and IT Consulting • Dong Hoa Ward, Ho Chi Minh City",linkedin,digital bank Singapore,,,,,,
Innov8Cloud,https://www.linkedin.com/company/108120365/,,Software Development,,"Wilimington, Delaware",,,,,,3,,,"Software Development • Wilimington, Delaware",linkedin,legaltech USA,,,,,,
Innov8tif,https://www.linkedin.com/company/2315638/,,IT Services and IT Consulting,,"Subang Jaya, Selangor",,,,,,2K,,,"IT Services and IT Consulting • Subang Jaya, Selangor",linkedin,ASEAN fintech,,,,,,
Innova Limited,https://www.linkedin.com/company/2336159/,,Financial Services,,"Nairobi, Nairobi Area",,,,,,1K,,,"Financial Services • Nairobi, Nairobi Area",linkedin,regtech company,,,,,,
Innovapptive Inc,https://www.linkedin.com/company/2842859/,,Mobile Computing Software Products,,"Houston, Texas",,,,,,109K,,,"Mobile Computing Software Products • Houston, Texas",linkedin,SaaS Vietnam,,,,,,
Innovation Incubator Holding,https://www.linkedin.com/company/6648267/,,Software Development,,"Manhasset Hills, New York",,,,,,2K,,,"Software Development • Manhasset Hills, New York",linkedin,AI startup USA,,,,,,
Innovation Incubator Inc,https://www.linkedin.com/company/102662418/,,"Technology, Information and Internet",,"Mineola, New York",,,,,,897,,,"Technology, Information and Internet • Mineola, New York",linkedin,AI startup USA,,,,,,
Innovation Intelligence AI,https://www.linkedin.com/company/42740690/,,"Technology, Information and Internet",,"San Francisco, California",,,,,,1K,,,"Technology, Information and Internet • San Francisco, California",linkedin,LLM startup,,,,,,
Innovation Lab,https://www.linkedin.com/company/14396079/,,Think Tanks,,"Jaipur, Rajasthan",,,,,,584,,,"Think Tanks • Jaipur, Rajasthan",linkedin,startup Bay Area,,,,,,
Innovation Space Technology,https://www.linkedin.com/company/68521226/,,Medical Equipment Manufacturing,,"Taibao City, Chiayi County",,,,,,26,,,"Medical Equipment Manufacturing • Taibao City, Chiayi County",linkedin,SPAC technology,,,,,,
Innovationbed (AI) Incubation Academy - WSANigeria,https://www.linkedin.com/company/90964447/,,"Technology, Information and Internet",,lagos,,,,,,1K,,,"Technology, Information and Internet • lagos",linkedin,AI startup USA,,,,,,
Innovations of the World,https://www.linkedin.com/company/11825157/,,Book and Periodical Publishing,,"Tampa, Florida",,,,,,7K,,,"Book and Periodical Publishing • Tampa, Florida",linkedin,Series A Singapore,,,,,,
Innovative Pharmatech,https://www.linkedin.com/company/81822994/,,Manufacturing,,"Gandhinagar, Gujarat",,,,,,38,,,"Manufacturing • Gandhinagar, Gujarat",linkedin,pharma tech,,,,,,
Innovative Systems Group,https://www.linkedin.com/company/15110/,,Outsourcing and Offshoring Consulting,,"Glen Ellyn, IL",,,,,,79K,,,"Outsourcing and Offshoring Consulting • Glen Ellyn, IL",linkedin,IT outsourcing Vietnam,,,,,,
Innovecs,https://www.linkedin.com/company/2430847/,,IT Services and IT Consulting,,Miami,,,,,,40K,,,IT Services and IT Consulting • Miami,linkedin,software outsourcing India,,,,,,
Innover Digital,https://www.linkedin.com/company/31189990/,,IT Services and IT Consulting,,"Alpharetta, Georgia",,,,,,100K,,,"IT Services and IT Consulting • Alpharetta, Georgia",linkedin,software outsourcing India,,,,,,
Innoveram,https://www.linkedin.com/company/106036709/,,Information Services,,"Frisco, Texas",,,,,,737,,,"Information Services • Frisco, Texas",linkedin,cybersecurity company USA,,,,,,
Innovex IT Solutions,https://www.linkedin.com/company/106399637/,,"Technology, Information and Internet",,"Lahore, Punjab",,,,,,262,,,"Technology, Information and Internet • Lahore, Punjab",linkedin,AI startup USA,,,,,,
Innowise,https://www.linkedin.com/company/260173/,,IT Services and IT Consulting,,"Warsaw, Mazowieckie",,,,,,38K,,,"IT Services and IT Consulting • Warsaw, Mazowieckie",linkedin,AI startup USA,,,,,,
Ino Hire,https://www.linkedin.com/company/107918060/,,Staffing and Recruiting,,"Dover, Delaware",,,,,,299,,,"Staffing and Recruiting • Dover, Delaware",linkedin,legaltech USA,,,,,,
Input 1,https://www.linkedin.com/company/372805/,,Insurance,,"Westlake Village, CA",,,,,,20K,,,"Insurance • Westlake Village, CA",linkedin,BPO Vietnam,,,,,,
Inside Secure,https://www.linkedin.com/company/2418112/,,Computer and Network Security,,Meyreuil,,,,,,22K,,,Computer and Network Security • Meyreuil,linkedin,mobile banking Vietnam,,,,,,
Inside Startup Funding,https://www.linkedin.com/company/107226166/,,Entertainment Providers,,"New York, NY",,,,,,441,,,"Entertainment Providers • New York, NY",linkedin,Series B startup,,,,,,
InsiderSecurity,https://www.linkedin.com/company/6403295/,,Computer and Network Security,,"Singapore, Singapore",,,,,,10K,,,"Computer and Network Security • Singapore, Singapore",linkedin,Southeast Asia SaaS,,,,,,
Insight,https://www.linkedin.com/company/2305/,,IT Services and IT Consulting,,"Chandler, Arizona",,,,,,466K,,,"IT Services and IT Consulting • Chandler, Arizona",linkedin,e-commerce Vietnam,,,,,,
Insight Global,https://www.linkedin.com/company/11056/,,Staffing and Recruiting,,"Atlanta, Georgia",,,,,,5M,,,"Staffing and Recruiting • Atlanta, Georgia",linkedin,IT services India,,,,,,
Insight Health Tech Planning (IHP) INC.,https://www.linkedin.com/company/40707447/,,Hospitals and Health Care,,"Mississauga, Ontario",,,,,,536,,,"Hospitals and Health Care • Mississauga, Ontario",linkedin,healthtech USA,,,,,,
Insight Partners,https://www.linkedin.com/company/21064/,,Venture Capital and Private Equity Principals,,"New York, NY",,,,,,168K,,,"Venture Capital and Private Equity Principals • New York, NY",linkedin,startup Bay Area,,,,,,
Insight Partners,https://www.linkedin.com/company/35564491/,,HVAC and Refrigeration Equipment Manufacturing,,"Alpharetta, Georgia",,,,,,9K,,,"HVAC and Refrigeration Equipment Manufacturing • Alpharetta, Georgia",linkedin,social media startup,,,,,,
Insignia Ventures Academy,https://www.linkedin.com/company/71992675/,,Education Administration Programs,,Singapore,,,,,,5K,,,Education Administration Programs • Singapore,linkedin,Southeast Asia venture capital,,,,,,
Insignia Ventures Partners,https://www.linkedin.com/company/18316494/,,Venture Capital and Private Equity Principals,,"Singapore, Singapore",,,,,,40K,,,"Venture Capital and Private Equity Principals • Singapore, Singapore",linkedin,Southeast Asia venture capital,,,,,,
InsiteMY,https://www.linkedin.com/company/14626907/,,IT Services and IT Consulting,,"Kuala Lumpur, Wilayah Persekutuan",,,,,,1K,,,"IT Services and IT Consulting • Kuala Lumpur, Wilayah Persekutuan",linkedin,digital bank Singapore,,,,,,
Inspection Oilfield Services (IOS),https://www.linkedin.com/company/3634764/,,Oil and Gas,,"Stanton, Texas",,,,,,9K,,,"Oil and Gas • Stanton, Texas",linkedin,API company,,,,,,
Inspire,https://www.linkedin.com/company/3584609/,,Renewable Energy Semiconductor Manufacturing,,"Santa Monica, California",,,,,,12K,,,"Renewable Energy Semiconductor Manufacturing • Santa Monica, California",linkedin,subscription company,,,,,,
Inspire11,https://www.linkedin.com/company/16162690/,,Business Consulting and Services,,"Chicago, Illinois",,,,,,13K,,,"Business Consulting and Services • Chicago, Illinois",linkedin,digital payments Vietnam,,,,,,
Inspired Capital,https://www.linkedin.com/company/35507329/,,Financial Services,,"New York, New York",,,,,,11K,,,"Financial Services • New York, New York",linkedin,venture capital Vietnam,,,,,,
InspiroEdge,https://www.linkedin.com/company/106319877/,,Events Services,,"Wilmington, Delaware",,,,,,86,,,"Events Services • Wilmington, Delaware",linkedin,Series C startup,,,,,,
Instabase,https://www.linkedin.com/company/6407994/,,Software Development,,San Francisco,,,,,,102K,,,Software Development • San Francisco,linkedin,SaaS Vietnam,,,,,,
Instaclick Inc.,https://www.linkedin.com/company/31996/,,Information Technology & Services,,"Toronto, ON",,,,,,11K,,,"Information Technology & Services • Toronto, ON",linkedin,developer tools company,,,,,,
Instant,https://www.linkedin.com/company/10286726/,,Financial Services,,"Alpharetta, Georgia",,,,,,9K,,,"Financial Services • Alpharetta, Georgia",linkedin,mobile banking Vietnam,,,,,,
Instant Lawyer Inc,https://www.linkedin.com/company/108726960/,,"Technology, Information and Internet",,Delaware,,,,,,2,,,"Technology, Information and Internet • Delaware",linkedin,legaltech USA,,,,,,
Instant Teams,https://www.linkedin.com/company/35528302/,,Staffing and Recruiting,,"Southern Pines, North Carolina",,,,,,20K,,,"Staffing and Recruiting • Southern Pines, North Carolina",linkedin,BPO Vietnam,,,,,,
Institute of Digital Marketing Vietnam - IDM Vietnam,https://www.linkedin.com/company/13359420/,,Education Management,,Ho Chi Minh City,,,,,,49,,,Education Management • Ho Chi Minh City,linkedin,digital marketing Vietnam,,,,,,
Institute of Space Technology (IST),https://www.linkedin.com/company/861890/,,Higher Education,,Islamabad,,,,,,7K,,,Higher Education • Islamabad,linkedin,SPAC technology,,,,,,
Institute of Space Technology Kicsit Campus,https://www.linkedin.com/company/96203062/,,Higher Education,,"Rawalpindi, Punjab",,,,,,105,,,"Higher Education • Rawalpindi, Punjab",linkedin,SPAC technology,,,,,,
Instrumental Inc.,https://www.linkedin.com/company/10938710/,,Software Development,,"Palo Alto, California",,,,,,16K,,,"Software Development • Palo Alto, California",linkedin,medical AI,,,,,,
InsureTech Trends,https://www.linkedin.com/company/18961718/,,Insurance,,"San Francisco, California",,,,,,4K,,,"Insurance • San Francisco, California",linkedin,regtech company,,,,,,
"Int Bell, Inc",https://www.linkedin.com/company/95968943/,,"Technology, Information and Internet",,"New York, NY",,,,,,66,,,"Technology, Information and Internet • New York, NY",linkedin,Southeast Asia SaaS,,,,,,
InteLogix,https://www.linkedin.com/company/95751775/,,Business Consulting and Services,,"Park City, UTAH",,,,,,28K,,,"Business Consulting and Services • Park City, UTAH",linkedin,BPO Vietnam,,,,,,
Integra Partners,https://www.linkedin.com/company/67103173/,,Venture Capital and Private Equity Principals,,"Singapore, Singapore",,,,,,6K,,,"Venture Capital and Private Equity Principals • Singapore, Singapore",linkedin,Southeast Asia venture capital,,,,,,
Integral Ad Science,https://www.linkedin.com/company/582024/,,Software Development,,"New York, NY",,,,,,52K,,,"Software Development • New York, NY",linkedin,digital payments Vietnam,,,,,,
"Integrant, Inc.",https://www.linkedin.com/company/243204/,,Software Development,,"San Diego, California",,,,,,57K,,,"Software Development • San Diego, California",linkedin,devops company,,,,,,
Integrated Axis Group,https://www.linkedin.com/company/3674645/,,IT Services and IT Consulting,,"Lubbock, Texas",,,,,,3K,,,"IT Services and IT Consulting • Lubbock, Texas",linkedin,cybersecurity company USA,,,,,,
Integrated Plasmonics Corporation,https://www.linkedin.com/company/1793650/,,Nanotechnology Research,,"Palo Alto, CA",,,,,,500,,,"Nanotechnology Research • Palo Alto, CA",linkedin,startup Bay Area,,,,,,
Integrated Solutions,https://www.linkedin.com/company/22317687/,,Financial Services,,"Boca Raton, Florida",,,,,,150,,,"Financial Services • Boca Raton, Florida",linkedin,growth equity USA,,,,,,
Integrated Trade Finance LLC,https://www.linkedin.com/company/1443263/,,Financial Services,,"Omaha, Nebraska",,,,,,763,,,"Financial Services • Omaha, Nebraska",linkedin,growth equity USA,,,,,,
Integreon,https://www.linkedin.com/company/23050/,,Business Consulting and Services,,"Fargo, North Dakota",,,,,,83K,,,"Business Consulting and Services • Fargo, North Dakota",linkedin,BPO Vietnam,,,,,,
IntegriDATA (by Indus Valley Partners),https://www.linkedin.com/company/796867/,,Software Development,,"New York, NY",,,,,,2K,,,"Software Development • New York, NY",linkedin,regtech company,,,,,,
Intel,https://www.linkedin.com/company/1053/,,Semiconductor Manufacturing,,"Santa Clara, California",,,,,,4M,,,"Semiconductor Manufacturing • Santa Clara, California",linkedin,manufacturing Vietnam,,,,,,
Intelegencia,https://www.linkedin.com/company/302690/,,IT Services and IT Consulting,,Atlanta,,,,,,14K,,,IT Services and IT Consulting • Atlanta,linkedin,BPO Vietnam,,,,,,
InteliX Systems,https://www.linkedin.com/company/91626670/,,IT Services and IT Consulting,,"Sioux City, Iowa",,,,,,31K,,,"IT Services and IT Consulting • Sioux City, Iowa",linkedin,BPO Vietnam,,,,,,
IntellaTriage,https://www.linkedin.com/company/16196184/,,Hospitals and Health Care,,"Nashville, Tennessee",,,,,,10K,,,"Hospitals and Health Care • Nashville, Tennessee",linkedin,telemedicine company,,,,,,
